Economy,value_2021,value_2021_perc,country_text_id,country_id,year,v2x_libdem,v2x_egaldem,v2clkill,v2cldiscm,v2cldiscw,v2cseeorgs,v2csreprss,v2csantimv,v2csanmvch_0,v2csanmvch_1,v2csanmvch_2,v2csanmvch_3,v2csanmvch_4,v2csanmvch_5,v2csanmvch_6,v2csanmvch_7,v2csanmvch_8,v2csanmvch_9,v2csanmvch_10,v2csanmvch_11,v2csanmvch_12,v2mecenefi,v2meharjrn,v2smgovdom,v2smgovfilcap,v2smgovfilprc,v2smgovshutcap,v2smgovshut,v2smgovsm,v2smgovsmmon,v2smgovsmcenprc,v2smonex,v2smorgavgact,v2smorgelitact,v2smorgtypes_0,v2smorgtypes_1,v2smorgtypes_2,v2smorgtypes_3,v2smorgtypes_4,v2smorgtypes_5,v2smorgtypes_6,v2smorgtypes_7,v2smorgtypes_8,v2smorgtypes_9,v2smarrest,v2smpolsoc
Uruguay,90,0.9,URY,102,2021,0.775,0.706,3.182,2.222,1.545,2.451,1.971,-1.447,0,0,0,0,0,1,0.5,0,0,0,0,0,0,2.149,2.345,2.276,0.444,2.165,1.791,1.806,1.81,1.844,1.449,1.078,1.268,-0.047,0.833,0.333,0.5,0.667,0,0,0,0,0,0.167,1.868,-0.178
Uzbekistan,77,0.77,UZB,140,2021,0.082,0.154,0.462,-0.037,-0.299,-0.47,-0.756,-1.682,0,0,0.333,0.333,1,0,0.333,0.333,0,0,1,0,0,-2.412,-0.913,-1.988,1.212,-1.774,1.745,-1.22,-1.075,-1.512,-1.467,0.636,-0.796,-1.137,0.625,0.5,0.25,0,0,0,0,0,0,0.125,-1.418,0.817
Vanuatu,66,0.66,VUT,206,2021,0.651,0.586,2.752,2.284,2.394,2.957,3.024,-2.55,0,0,1,0,0,0,0,0,1,0,1,0,0,1.838,1.028,1.834,-1.474,1.77,-1.106,1.779,1.814,1.25,1.504,-0.537,-0.733,-0.613,0.75,0.75,0.5,0.25,0,0,0.25,0,0,0.25,1.71,0.9
Vatican,75,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vietnam,74,0.74,VNM,34,2021,0.112,0.186,0.956,-0.651,-0.774,-0.904,-0.776,-1.268,0.667,0.667,0.333,0,0.333,0,0,0,0,0,0.333,0,0,-0.945,-1.008,-1.002,1.861,-2.071,0.879,0.542,0.342,-1.542,-1.482,-0.409,1.031,-1.275,0.8,0.2,1,0.8,0.2,0,0,0,0,0.2,-2.316,1.554
Zambia,21,0.21,ZMB,61,2021,0.318,0.259,1.088,1.18,1.408,0.824,0.185,-0.528,0.4,0.4,0.2,0,0.6,0,0,0,0,0,0.2,0,0,-0.287,0.483,-1.574,1.26,0.157,2.34,0.142,0.19,-1.336,1.135,1.782,-0.77,0.59,1,0.8,1,0.2,0.2,0.2,0.2,0,0,0,-0.954,-1.743
Zimbabwe,35,0.35,ZWE,62,2021,0.194,0.191,-1.642,-1.041,-0.91,0.541,-1.156,0.713,0.333,0.5,0.25,0.083,0.5,0.083,0.167,0,0.083,0.167,0.167,0,0.083,-0.033,-0.181,-2.145,0.978,-0.35,1.017,-0.6,-0.303,-1.547,-0.531,-0.251,0.693,-0.482,0.667,0.5,0.833,0.5,0.333,0,0,0,0,0,-2.552,-2.125
Russia,NA,NA,RUS,11,2021,0.102,0.19,-0.854,0.392,0.326,-0.868,-0.879,-0.66,0.333,0.667,0.333,0,0.833,0,0,0,0,0,0,0,0,-0.675,-0.638,-2.614,1.915,-0.654,0.326,-0.111,0.333,-1.545,-0.993,0.192,0.729,-0.483,0.857,0.571,0.714,0.143,0.143,0,0,0,0,0.143,-0.911,0.788
Yemen,NA,NA,YEM,14,2021,0.035,0.028,-2.362,-0.859,-0.986,-1.301,-0.534,0.88,0.25,0.375,0.375,0.375,0,0.5,0.125,0.25,0.25,0.875,0.875,0.5,0.25,-1.834,-1.378,-2.443,1.499,-2.138,1.235,-1.647,-1.464,-1.335,-1.615,-1.161,0.627,-0.385,0.286,0.286,0.714,0.286,0.286,0.429,0.286,0.143,0.143,0,-1.996,-2.453
South Sudan,NA,NA,SSD,32,2021,0.054,0.026,-0.675,-0.686,-1.801,-0.275,-1.042,0.614,0,0,1,0.5,0,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,-1.182,-2.154,-2.693,-0.577,-1.307,-0.557,-2.624,-1.949,-2.257,-2.972,-1.649,-1.265,-0.344,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0,0,-2.782,-2.173
